# One line per check. A line missing ANY field does not count as a result.
# control = did a positive control fire (something that must appear whether or not the feature works)
# alone   = was anything else driving on the same instance/directory at the time
# TIMESTAMP every row: YYYY-MM-DD HH:MM, not just the date.
#
# ARM LABEL (added 2026-08-27 03:27 CEST). A two-arm A/B writes TWO rows and the parent arm is
#   SUPPOSED to FAIL — that failure is the proof the probe measures the defect, not a
#   result. Any query that takes "the latest row per cell" therefore reads a driven,
#   passing cell as failing; that happened to me twice on this file. So start the
#   'what' column with one of:
#     [parent]  the pre-fix control arm. A FAIL here is EXPECTED and is evidence.
#     [fix]     the with-fix arm. THIS ROW IS THE VERDICT.
#     [single]  a one-armed reading with no pre-fix control (rarer; say why in the text).
#   Rows written before this note use prose forms such as "(PARENT arm)" / "(FIX arm)".
# Rows written before
# 2026-08-26 16:05 CEST carry a date only; everything after carries the time.
# STALE = CODE changed since that commit, not merely that commits landed. Check with:
#   git diff --name-only <row commit>..issue/1761-agent-runtime | grep -v '^docs/'
# Empty output means the row still counts. The first version of this rule said "behind the
# tip" and would have thrown away 25 valid rows over three docs-only commits.
what	driver	verdict	commit	control	alone	date	issue
[single] A6b chat-CLI switch both directions twice	claude-sdk	BLOCKED n/a ON THIS DRIVER. No CLI terminal exists on this path, so the CLI half cannot be met by construction. Same mechanism as A6a	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes session bound to claude-sdk so applicability could be judged	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:42:45 CEST	POD-3047
[single] A7a daemon restart	claude-sdk	PASS the daemon was restarted at the same pinned sha with TOS still set and the same session recalled its pre-restart codeword. The restart waits for the turn to CLOSE first, and the status this row quotes is taken after a BOUNDED settle (idle reached in 3178ms) rather than sampled the instant the needle appeared -- an earlier revision recorded phase=working beside a PASS, which reads as a contradiction even though the verdict rested on the recall	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the codeword was sent and echoed back before the restart	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:44:47 CEST	POD-3047
[single] A7b hibernate and wake	claude-sdk	PASS hibernate parked the session, resurrect brought it live, and it recalled the pre-hibernate codeword. The park waits for idle: parking mid-turn drew a CORRECT product refusal ("agent is working, let it reach idle first") that an earlier revision scored as lost context. Status quoted after a bounded settle (idle in 3109ms)	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the codeword was sent and echoed back before hibernating; idle confirmed before parking	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:44:36 CEST	POD-3047
[single] A8 logged-out spawn -- FIRST VALID READING OF THIS CELL	claude-sdk	FAIL and this time the condition is REAL. After POD-3057 the SDK child runs in the instance agent home; with that home credential-free the session is genuinely logged out (product own readout: "Not logged in - Please run /login"), and the SDK spawn offers NO login path. The control is the PTY arm on the identical rig, pin and posture, which DOES show one -- so the rig can detect a login path when one exists. Previous FAILs for this cell were vacuous: the condition had never been created	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the product itself reported not-logged-in, and the PTY arm on the same rig showed a login path	yes named instance p3047n sole driver; posture: agent-home credential ABSENT (no-copy)	2026-08-28 18:53:41 CEST	POD-3047
[single] A9 kill session	claude-sdk	PASS with a turn in flight the session held a claude-sdk-host child; after sessions.kill it was gone in the first 500ms sample and still gone after a full 300s wait	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes a claude-sdk-host child was alive before the kill -- without one this cell cannot fail	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:45:17 CEST	POD-3047
[single] A10 driver identity	claude-sdk	PASS session reported driverId claude-sdk	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the session reported a driver identity after spawn	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:33:18 CEST	POD-3047
[single] B quota classification	claude-sdk	PASS a live turn succeeded and classified errorClass none with a null structured error	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the send delivered and the assistant needle arrived	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:43:40 CEST	POD-3047
[single] B auth classification	claude-sdk	FAIL same instrument and posture as A8 and the same real condition: genuinely logged out, no login path offered on the SDK path	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the product itself reported not-logged-in	yes named instance p3047n sole driver; posture: agent-home credential ABSENT (no-copy)	2026-08-28 18:54:50 CEST	POD-3047
[single] A10 driver identity (PTY comparison)	claude-pty	PASS session reported driverId claude-pty	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the session reported a driver identity after spawn	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:50:40 CEST	POD-3047
[single] A1a send while idle (PTY comparison)	claude-pty	PASS three idle sends each replied. FIRST TIME this cell has driven a real turn on the PTY arm -- earlier pins had it BLOCKED on authentication because the agent home was credential-free	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes 3/3 delivered with user and assistant needles on the terminal plane	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:52:05 CEST	POD-3047
[single] A2b status at boot (PTY comparison)	claude-pty	PASS a fresh terminal session reported phase idle at boot	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes sessions.create returned a row, viewer attached, driverId bound to claude-pty	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:51:06 CEST	POD-3047
[single] A6a terminal attach and type (PTY comparison)	claude-pty	PASS screen bytes on attach, the typed marker echoed, resize to 100x30 refit with the session row reporting that geometry, and a second viewer saw the same marker. This is the control that makes the claude-sdk A6a n/a meaningful rather than a dead rig	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the first native viewer received an attached terminal stream	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:51:32 CEST	POD-3047
[single] A8 logged-out spawn (PTY comparison) -- THE CONTROL FOR THE SDK FAIL	claude-pty	BLOCKED the terminal arm DOES reach a logged-out state and shows the login path: screen carries "Not logged in  Run /login" and classifies authentication. Completing external OAuth is outside this rig so the after-login clause is unmeasured -- but the presence of the path is exactly what the SDK arm lacks at the same pin and posture	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the terminal attached and the product itself reported the logged-out state	yes named instance p3047n sole driver; posture: agent-home credential ABSENT (no-copy)	2026-08-28 18:55:59 CEST	POD-3047
[single] B quota classification (PTY comparison)	claude-pty	BLOCKED provider classed as usage_limit; a reset was not observed as recovered within the cell. This is a genuine quota condition on the account, not an auth one, and it appeared late in the run	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the send reached the terminal and the provider returned a typed usage_limit class	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:52:38 CEST	POD-3047
A5 transcript tool-call/result persistence (POD-3025 corrected re-drive; SUPERSEDES the FAIL on METHOD not recency)	grok-acp	PASS the permission ask was answered with allow-once and the call/result pair persisted live AND after reload. The FAIL lineage (POD-2927 at dded76d9c, reproduced by POD-3065 at f76f698ce) LEFT A REAL PROTOCOL PERMISSION ASK UNANSWERED and therefore never exercised the terminal result boundary -- no result existed because the call never completed. A newer reading that does not reach the boundary does not outrank an older one that does	3cd8fa16	yes call/result pair proven live and after reload	yes; authoritative reading readings/a5-current-3cd8.json	2026-08-28 19:13:28 CEST	POD-3025
[single] A2a status while working (POD-2777 session E replay seam)	codex-app-server	PASS 212 preview frames; 1201->6506 chars; 211/211 growth transitions; fine watch acquired	15e5afe79767cf1ae94b67d08d8dcfacf65a9f6f	yes — durable transcript control and stream control fired; preview rows monotonic	yes — named p2777, sole sequential arm; Codex 0.149.1 explicitly pinned; no test:heavy	2026-08-28 21:20 CEST	POD-2777
[single] A3 interrupt mid-turn (POD-2777 session E replay seam)	codex-app-server	PARTIAL phase left working after 525ms; no durable interrupt marker; 0 terminal bytes after call	15e5afe79767cf1ae94b67d08d8dcfacf65a9f6f	yes — in-flight phase=working with preview frames; interrupt control fired	yes — named p2777, sole sequential arm; Codex 0.149.1 explicitly pinned; no test:heavy	2026-08-28 21:20 CEST	POD-2777
[single] A2a status while working (POD-2777 session E replay seam)	opencode-server	PASS 62 preview frames; 1731->6858 chars; 61/61 growth transitions; fine watch acquired	15e5afe79767cf1ae94b67d08d8dcfacf65a9f6f	yes — durable transcript control and stream control fired; preview rows monotonic	yes — named p2777, sole sequential arm; OpenCode 1.18.25; no test:heavy	2026-08-28 21:23 CEST	POD-2777
[single] A3 interrupt mid-turn (POD-2777 session E replay seam)	opencode-server	PARTIAL phase left working after 9ms; no durable interrupt marker; no output after call	15e5afe79767cf1ae94b67d08d8dcfacf65a9f6f	yes — in-flight phase=working with preview frames; interrupt control fired	yes — named p2777, sole sequential arm; OpenCode 1.18.25; no test:heavy	2026-08-28 21:23 CEST	POD-2777
[single] A2a status while working (POD-2777 session E replay seam)	generic-pty	BLOCKED no preview surface; joined at the turn fence with 0 frames; terminal control fired	15e5afe79767cf1ae94b67d08d8dcfacf65a9f6f	yes — durable transcript control fired; terminal arm has no preview plane by design	yes — named p2777, sole sequential arm; Codex 0.149.1 explicitly pinned; no test:heavy	2026-08-28 21:26 CEST	POD-2777
[single] A3 interrupt mid-turn (POD-2777 session E replay seam)	generic-pty	PARTIAL phase left working after 512ms; no durable interrupt marker	15e5afe79767cf1ae94b67d08d8dcfacf65a9f6f	yes — terminal bytes were growing before interrupt; interrupt control fired	yes — named p2777, sole sequential arm; Codex 0.149.1 explicitly pinned; no test:heavy	2026-08-28 21:26 CEST	POD-2777
[single] A2a status while working (POD-2777 session E replay seam)	generic-pty	BLOCKED no preview surface; joined at the turn fence with 0 frames; terminal control fired	15e5afe79767cf1ae94b67d08d8dcfacf65a9f6f	yes — durable transcript control fired; terminal arm has no preview plane by design	yes — named p2777, sole sequential arm; OpenCode 1.18.25; no test:heavy	2026-08-28 21:29 CEST	POD-2777
[single] A3 interrupt mid-turn (POD-2777 session E replay seam)	generic-pty	PARTIAL phase left working after 28902ms; no durable interrupt marker; 20582 transcript chars after call	15e5afe79767cf1ae94b67d08d8dcfacf65a9f6f	yes — terminal bytes were growing before interrupt; interrupt control fired	yes — named p2777, sole sequential arm; OpenCode 1.18.25; no test:heavy	2026-08-28 21:29 CEST	POD-2777

[single] A6b chat-CLI switch both directions twice (operator basic-surface reproduction)	grok-acp	FAIL Chat and CLI each remained functional, epoch/process/geometry stayed stable, but a real CLI-originated provider reply produced 17043 terminal bytes and zero Chat occurrences; live sync=false, count=0. This exact run exposed that daemon readers resolved the operator home instead of the named instance agent home	447376fca58ee15814bf577114b9c5adf2a6cf60	yes baseline Chat reply and CLI echo both fired before switching; post-switch Chat reply and CLI echo both fired	yes named p1761final; exact server/daemon pin; web exact 447376f; unique ports 19961/46961/46962; operator instance untouched	2026-08-29 22:53:37 CEST	POD-1761
[single] A6b chat-CLI switch both directions twice (operator basic-surface repair)	grok-acp	PASS four switches kept epoch 0, agent process identity, and 120x40 geometry; Chat answered and CLI echoed before and after; a real CLI-originated Grok reply synchronized to Chat live exactly once (count=1, 17024 terminal bytes). The 250ms incremental update tail was observed within the probe 1s sampling interval	d77713859196462a59e4898f4f5e4ac0e29c5787	yes baseline Chat reply and CLI echo both fired before switching; post-switch Chat reply and CLI echo both fired	yes named p1761final; exact server/daemon d777138; web 447376f proven apps/web-identical through d777138; unique ports 19961/46961/46962; operator instance untouched	2026-08-29 23:03:34 CEST	POD-1761

[single] A1a initial send (POD-3103 current-tip first batch)	opencode-server	PASS delivered; exact assistant nonce arrived in 3520ms, whole probe 3845ms	fbc2f18baf77d74d370c6469444b3c3d800b0a71	yes — two transcriptDelta frames and the exact user prompt appeared independently of assistant success	yes — named p3103-opencode-basic; product-derived state/agent home; cwd /tmp/pod-3103-opencode-basic/repo; ports 19971/46971/46972; OpenCode 1.18.25; host load 14.53/11.53/7.76 and MemAvailable 17471201280 bytes	2026-08-30 00:02:49 CEST	POD-3103
[single] attachment send control (POD-3103 current-tip first batch)	opencode-server	PASS staged-file nonce returned in 1505ms, whole probe 1808ms, zero approval asks	fbc2f18baf77d74d370c6469444b3c3d800b0a71	yes — preceding plain send passed, and the file-only random nonce could not be guessed	yes — named p3103-opencode-basic; same bounded instance and cwd; server/daemon/web pins exact; operator instance untouched	2026-08-30 00:02:49 CEST	POD-3103

[single] A1a initial send (POD-3103 headed OpenCode)	generic-pty	PASS per-spawn generic-pty/terminal identity fired; exact first reply 3015ms, whole probe 4836ms	d6b4ba8bf65a1f2748d787f792a68c36d1387f98	yes — 2 transcriptDelta frames, exact prompt, 35250 native bytes and raw CLI echo all fired independently	yes — named p3103-opencode-headed-final; product-derived state/agent home; cwd /tmp/pod-3103-opencode-headed-final/repo; ports 19974/46977/46978; no PODIUM_RUNTIME_DRIVER; load 10.74/12.31/10.56	2026-08-30 00:21:16 CEST	POD-3103
[single] A6b Chat-Native switch both directions twice (POD-3103 headed OpenCode)	generic-pty	PARTIAL core PASS: identity stable, second reply+idle 1581ms, both CLI echoes, terminal +241508 bytes; scrollback corruption UNMEASURED because raw PTY redraws are not xterm rows	d6b4ba8bf65a1f2748d787f792a68c36d1387f98	yes — pre-switch first reply, 35250 native bytes and CLI echo all fired	yes — named p3103-opencode-headed-final; per-spawn runtimeContract=generic-pty; four switches; MemAvailable 16946188288 bytes; operator ports/state untouched	2026-08-30 00:21:16 CEST	POD-3103

[single] A1a initial send (POD-3103 headed Claude)	claude-pty	BLOCKED exact claude-pty/terminal bound and prompt control fired, but provider returned unknown with zero token and phase live/errored; send RPC 25118.7ms	70a1193091e198b9712116cb8dccb6d83793b494	yes — real native TUI, trust-modal input, one transcriptDelta and exact user prompt all appeared before provider error	yes — named p3103-claude-headed; derived state/agent home; credential symlink no copy; ports 19975/46979/46980; no PODIUM_RUNTIME_DRIVER; start load 8.72, stopped after load 12.08	2026-08-30 00:39:58 CEST	POD-3103

[single] A11 running-session model+effort persistence	codex-app-server	FAIL apply and persistence passed but observed projection stayed absent; native turn_context proved gpt-5.6-sol/medium before and gpt-5.6-luna/max on the next and post-restart provider turns	fbc2f18baf77d74d370c6469444b3c3d800b0a71	yes — exact provider marker reply and native pre-change turn_context fired	yes — named p3097-a11, sole sequential arm; Codex 0.150.1; unique ports 20097/47097/47098; operator port 19797 untouched	2026-08-29 23:37:15 CEST	POD-3097
[single] A11 running-session model+effort persistence	opencode-server	FAIL apply and persistence passed but observed projection stayed absent; native typed assistant rows proved opencode-go/gpt-5.6-luna/no variant before and opencode-go/kimi-k3/max on the next and post-restart provider turns	fbc2f18baf77d74d370c6469444b3c3d800b0a71	yes — exact provider marker reply and typed native baseline assistant row fired	yes — named p3097-a11, sole sequential arm; OpenCode 1.18.25; unique ports 20097/47097/47098; operator port 19797 untouched	2026-08-29 23:55:07 CEST	POD-3097
[single] A11 running-session model+effort persistence	claude-sdk	FAIL next turn changed native claude-opus-4-8 to claude-opus-5 but native effort was unobservable; after restart Claude warned Opus 5 could not be restored and fell back to Opus 4.8 while requested Opus 5/max remained projected	fbc2f18baf77d74d370c6469444b3c3d800b0a71	yes — exact provider marker reply and native baseline assistant record fired	yes — named p3097-a11, sole sequential arm; Claude CLI 2.1.236 and embedded transcript 2.1.201; unique ports 20097/47097/47098; operator port 19797 untouched	2026-08-29 23:58:55 CEST	POD-3097
[single] A11 running-session model+effort typed refusal	grok-acp	PASS typed unsupported named model and effort, explained permissionMode is the only mutable field, and left requested/observed projection unchanged through client reload and server/daemon restart	fbc2f18baf77d74d370c6469444b3c3d800b0a71	yes — exact real-provider marker reply fired before the refusal	yes — named p3097-a11, sole sequential arm; Grok 0.2.118; unique ports 20097/47097/47098; operator port 19797 untouched	2026-08-30 00:02:06 CEST	POD-3097
[single] A11 running-session model+effort typed refusal	generic-pty	PASS typed unsupported explained model/effort are launch argv and changing them requires relaunch; requested/observed projection stayed unchanged through client reload and server/daemon restart	fbc2f18baf77d74d370c6469444b3c3d800b0a71	yes — native PTY resize to 113x37 was independently observed; no provider turn driven	yes — named p3097-a11, sole sequential arm; Codex terminal explicitly selected; unique ports 20097/47097/47098; operator port 19797 untouched	2026-08-30 00:11:27 CEST	POD-3097
[single] A2a status while working (POD-3112 run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T022010879Z)	generic-pty	PARTIAL prompt timing unmeasured because the status observer had a 2214ms gap; no flicker and final idle passed; reading docs/evidence/pod-3112/readings/default-headed.a2a.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T022010879Z.json	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	yes — the short turn actually running to completion with its assistant nonce observed; assistant=true; workingAt={"at":2254,"phase":"working","status":"live","driverId":"generic-pty"}	yes — named p3112-oc-paired-r4; cwd /tmp/pod-3112-paired-r4/probes/default-headed-a2a; port 20314; immutable run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T022010879Z	2026-08-30T02:20:27.134Z	POD-3112
[single] A2a status while working (POD-3112 run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T023825527Z)	generic-pty	PASS working push arrived within 2s, with no flicker and pushed final idle; reading docs/evidence/pod-3112/readings/default-headed.a2a.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T023825527Z.json	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	yes — the direct push observer receiving both a working state and the assistant nonce; assistant=true; workingReceiveMs=1211.121939999999	yes — named p3112-oc-paired-r4; cwd /tmp/pod-3112-paired-r4/probes/default-headed-a2a; port 20314; immutable run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T023825527Z	2026-08-30T02:38:40.993Z	POD-3112
[single] A1b busy send (POD-3112 run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T020122950Z)	generic-pty	PASS busy send upgraded to blocking delivery without a stale position and survived reload; reading docs/evidence/pod-3112/readings/default-headed.a1b.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T020122950Z.json	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	yes — first busy-turn send delivered and in-flight signal fired; first user=true, preview=true, working=true at 3774ms	yes — named p3112-oc-paired-r4; cwd /tmp/pod-3112-paired-r4/probes/default-headed-a1b; immutable reading/pin run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T020122950Z	2026-08-30T02:01:22.950Z	POD-3112
[single] A1b busy send (POD-3112 run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T020215766Z)	opencode-server	PASS busy send upgraded to blocking delivery without a stale position and survived reload; reading docs/evidence/pod-3112/readings/opencode-server.a1b.json	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	yes — first busy-turn send delivered and in-flight signal fired; first user=true, preview=true, working=true at 41ms	yes — named p3112-oc-paired-r4; cwd /tmp/pod-3112-paired-r4/probes/opencode-server-a1b; immutable reading/pin run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T020215766Z	2026-08-30T02:02:15.766Z	POD-3112
[single] A2a status while working (POD-3112 run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T024157265Z)	opencode-server	PASS working push arrived within 2s, with no flicker and pushed final idle; reading docs/evidence/pod-3112/readings/opencode-server.a2a.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T024157265Z.json	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	yes — the direct push observer receiving both a working state and the assistant nonce; assistant=true; workingReceiveMs=-203.4023530000004	yes — named p3112-oc-paired-r4; cwd /tmp/pod-3112-paired-r4/probes/opencode-server-a2a; port 20314; immutable run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T024157265Z	2026-08-30T02:42:07.832Z	POD-3112
[single] A3 interrupt (POD-3112 run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T024321319Z)	generic-pty	FAIL interrupt lacked an attributable stop or durable transcript marker; reading docs/evidence/pod-3112/readings/default-headed.a3.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T024321319Z.json	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	yes — a real long turn demonstrably working immediately before sessions.interrupt; user=true; observedWorking=true; immediatePhase=working	yes — named p3112-oc-paired-r4; cwd /tmp/pod-3112-paired-r4/probes/default-headed-a3; port 20314; immutable run 2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T024321319Z	2026-08-30T02:43:53.841Z	POD-3112
[single] A3 interrupt (POD-3112 r17 20260830T075539635Z)	opencode-server	PASS real visible Stop reached idle in 420.288ms; exactly one public durable interrupt marker persisted across empty-client-state browser reload; zero assistant final; process and both views survived; reading docs/evidence/pod-3112/readings/opencode-server.r17-ui.20260830T075539635Z.json	bc0263ccf49d499f60988c297c60554b4217a6b6	yes — long provider turn showed working and terminal growth before one real Stop request; first turn exact reply and exact-once Chat sync also fired	yes — named p3112-oc-ui-lifecycle-r17; unique cwd and ports 20327/47342/47343; product-created instance marker verified before daemon; approved credential symlink metadata-only; operator/default untouched on retry	2026-08-30T07:56:04.182Z	POD-3112
[single] A7a daemon restart (POD-3112 r18 Native repair redrive)	opencode-server	FAIL content-bearing Native marker normalized occurrences changed 2 to 0 after daemon restart while Chat retained 2 and context recall succeeded; reading docs/evidence/pod-3112/diagnostics/r18-native-repair-a7a-refusal-20260830T122739+0200.json	ba420c5665888f6bd8338e02df9867bf36a34320	yes — 2 provider prompts; seed user/assistant 1/1; Chat retained 2; recall true; exact provider/process/session/createdAt/resume identities; daemon PID 3963576 to 3996993	yes — named p3112-a7a-ncr1; sole provider drive; cwd /tmp/pod-3112-a7a-ncr1/dummy-repo; unique ports 20338/47354/47355; operator/default untouched	2026-08-30 12:27:39 CEST	POD-3112
[single] A7b hibernate and wake (POD-3112 r18 admitted fa0bbc8)	opencode-server	FAIL Native lost the prior content-bearing A7a marker while Chat retained it; the post-resurrection user prompt persisted but produced no unique assistant reply (recall.ms null); reading docs/evidence/pod-3112/readings/opencode-server.r18-fa0bbc8-a7b-fail.20260830T165120967Z.json	fa0bbc8ac752c32a2de13d6835938b2633638f31	yes — A7a fully PASS; post-resurrection provider exact on a new PID with preserved identity; unique A7b user prompt P3112-R18-A7B-MTG1O1D0 durably present in sessions.read; no assistant item contained that nonce	yes — fresh named p3112-a7b-fa0bbc-r2; cwd /tmp/pod-3112-a7b-fa0bbc-r2/dummy-repo; ports 23231/50231/50232; exact fa0bbc8 build admitted under test:heavy; full teardown verified	2026-08-30T16:51:20.967Z	POD-3112
[single] A7a daemon restart (POD-3112 r18 exact-tip d6df08c)	opencode-server	PASS exact server driver, provider/process/session/createdAt/resume identity, Native and Chat markers, and context recall survived daemon PID 1515434 to 1518971; reading docs/evidence/pod-3112/readings/opencode-server.r18-d6df08c-a7a-pass.20260830T184047141Z.json	d6df08c41af3883685c3f18fad0fd0fef78bfec7	yes — seed user/assistant exact-once, working and terminal growth, both views, exact provider cwd/instance, daemon adoption, and recalled codeword all fired	yes — fresh named p3112-a7-final-d6d-r1; cwd /tmp/pod-3112-a7-final-d6d-r1/dummy-repo; ports 22142/49142/49143; exact fresh d6df08c server/web/daemon pins; operator markers snapshotted	2026-08-30T18:40:47.141Z	POD-3112
[single] A7b hibernate and wake (POD-3112 r18 exact-tip d6df08c)	opencode-server	REFUSED unscored: runner exited at the committed A7a checkpoint before consuming the A7b release marker; no hibernate, resurrection, or A7b provider prompt occurred; reading docs/evidence/pod-3112/diagnostics/r18-d6df08c-a7b-runner-exit-refusal-20260830T204400+0200.json	d6df08c41af3883685c3f18fad0fd0fef78bfec7	no — the A7b runner was absent; A7a remained a separately committed PASS with its full controls	yes — exact isolated instance/session still live and idle with opencode-server identity before teardown; no fallback or restart attempted	2026-08-30T18:44:00.573Z	POD-3112
[single] A7a-to-A7b landed-orchestrator release	opencode-server	REFUSED unscored: start reached the harness login before an isolated server was listening; no A7a checkpoint, A7b release, provider prompt, or A7B_PASS_CONTROLLED sentinel; reading docs/evidence/pod-3112/diagnostics/r18-1dbac78-a7a-startup-refusal-20260830T210205+0200.json	1dbac781be27161162661053dded82f633dc615e	no — required A7a checkpoint/control evidence never existed, so A7b remained fenced	yes — fresh named p3112-r18-landed-2301; temp root/dummy repo; unused ports 22481/49481/49482; protected instance hashes and ports unchanged; zero residue after teardown	2026-08-30T21:02:05+02:00	POD-3112
[single] A7a-to-A7b final landed-orchestrator attempt	opencode-server	REFUSED unscored: explicit drive-up/HTTP/pin/inventory/repo preflight passed, then r18 received no auth cookie because it used the instance name rather than the configured isolated password; no provider launch or A7b release; reading docs/evidence/pod-3112/diagnostics/r18-1dbac78-login-contract-refusal-20260830T210929+0200.json	1dbac781be27161162661053dded82f633dc615e	no — A7a checkpoint and A7B_PASS_CONTROLLED never existed; provider prompts zero	yes — fresh p3112-r18-final-2302, dummy repo, ports 22517/49517/49518, exact 1dbac source pins with d6df web, protected markers unchanged and zero residue	2026-08-30T21:09:29+02:00	POD-3112
[headed] A1a Grok paired final tip run=20260831T001033.429457457Z-2695085	generic-pty	BLOCKED durable user-prompt control was missing in the live or reloaded transcript	057755c77a6bdfdf01aa526d968562b0316e78df	no — the probe prompt exists as a durable user transcript item in both live and freshly reloaded viewers: liveUser=0 reloadedUser=0 liveItems=[] reloadedItems=[]	yes — named p3110-grok-paired-057755c-r3; sequential terminal arm; unique cwd /tmp/pod-3110-grok-paired-057755c-r3/runs/20260831T001033.429457457Z-2695085/cells/terminal-a1a; no runtime override	2026-08-31 00:13:07.561 UTC	POD-3110
[headed] A1a Grok paired final tip run=20260831T010421.737678726Z-2866539	generic-pty	BLOCKED durable user-prompt control was missing in the live or reloaded transcript	7ef8e4268b8a2630cbb1e9a1adf09830f2e5f524	no — the probe prompt exists as a durable user transcript item in both live and freshly reloaded viewers: liveUser=0 reloadedUser=0 liveItems=[] reloadedItems=[]	yes — named p3110-grok-paired-7ef8e42-r4; sequential terminal arm; unique cwd /tmp/pod-3110-grok-paired-7ef8e42-r4/runs/20260831T010421.737678726Z-2866539/cells/terminal-a1a; no runtime override	2026-08-31 01:06:57.730 UTC	POD-3110
[headed] A1a Grok paired final tip run=20260831T015013.542402547Z-3027758	generic-pty	BLOCKED probe threw before a positive control fired	a4a209cc6d902db2c65db0e240a0dbb21aa9b014	no — the cell-specific positive control: Error: executed Grok pin mismatch: {"pid":3028725,"executable":"/home/mgw/.local/state/podium/p3110-grok-paired-a4a209c-r5/bin/abduco","declaredExecutable":"/home/mgw/.grok/downloads/grok-linux-x86_64","version":"grok 0.2.118 (1e1687c1cf) [stable]","sha256":"0471e900b805328c7b4a122d784e15ea119a6445ed7e1d2f2ed58f9f99c968ae","home":"/home/mgw/.local/state/podium/p3110-grok-paired-a4a209c-r5/agent-home","forbiddenOverrides":["GROK_HOME","ABDUCO_SOCKET_DIR"]}	yes — named p3110-grok-paired-a4a209c-r5; sequential terminal arm; unique cwd /tmp/pod-3110-grok-paired-a4a209c-r5/runs/20260831T015013.542402547Z-3027758/cells/terminal-a1a; no runtime override	2026-08-31 01:50:30.367 UTC	POD-3110
